Property name,property info,price range,flat_details,Average price,facing,Build up area,Posession date
Prem Homes,2 BHK Flat for sale in Dwarka Mor,₹26.92 L,,₹4.49 K/sq.ft,,None sq.ft,
Dream Home,3 BHK Flat for sale in Dwarka Mor,₹80.0 L,,₹7.41 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹30.0 L,,₹5.0 K/sq.ft,South-east,None sq.ft,
Green Valley Homes,2 BHK Flat for sale in Dwarka Mor,₹35.0 L,,₹5.83 K/sq.ft,,None sq.ft,
Adarsh homes Dwarka mor,1 BHK Independent Builder Floor for sale in Dwarka Mor,₹22.0 L,,₹5.5 K/sq.ft,,None sq.ft,
S Gambhir Metrowalk,3 BHK Flat for sale in Dwarka Mor,₹62.0 L,,₹6.56 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹45.0 L,,₹6.0 K/sq.ft,South-east,None sq.ft,
G3,4 BHK Flat for sale in Dwarka Mor,₹65.0 L,,₹5.42 K/sq.ft,,None sq.ft,
,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹65.0 L,,₹7.22 K/sq.ft,East,None sq.ft,
RP Luxury Floors,3 BHK Flat for sale in Dwarka Mor,₹51.28 L,,₹5.7 K/sq.ft,,None sq.ft,
DWARKA SECTOR 3 HIMACHALI APARTEMENT,3 BHK Flat for sale in Dwarka Mor,₹1.88 Cr,,₹10.44 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹31.0 L,,₹4.77 K/sq.ft,,None sq.ft,
mohan garden uttam nagar,3 BHK Independent Builder Floor for sale in Dwarka Mor,₹47.0 L,,₹5.53 K/sq.ft,,None sq.ft,
JSR infrastructure,3 BHK Flat for sale in Dwarka Mor,₹50.0 L,,₹5.88 K/sq.ft,,None sq.ft,
JSR builtech,1 BHK Flat for sale in Dwarka Mor,₹53.0 L,,₹6.2 K/sq.ft,,None sq.ft,
Pratiksha Niwas,3 BHK Flat for sale in Dwarka Mor,₹43.0 L,,₹4.68 K/sq.ft,,None sq.ft,
Shree Home I by Shree,3 BHK Flat for sale in Dwarka Mor,₹56.61 L,,₹6.29 K/sq.ft,,None sq.ft,
Planner N Maker Affordable Floors,3 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹5.0 K/sq.ft,,None sq.ft,
Khatushyam Homes 1,3 BHK Flat for sale in Dwarka Mor,₹45.0 L,,₹5.77 K/sq.ft,,None sq.ft,
The Ghar,3 BHK Flat for sale in Dwarka Mor,₹56.0 L,,₹6.22 K/sq.ft,,None sq.ft,
,2 BHK Independent Builder Floor for sale in Dwarka Mor,₹28.5 L,,₹4.6 K/sq.ft,South-west,None sq.ft,
